epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04263,2.64968,4.34667,1.34885,0,0,0,0,0,19.017,0,0.00011669,0.00011669,0.00011669
2,15.5964,2.27245,3.6195,1.14395,0,0,0,0,0,19.0723,0,0.000241798,0.000241798,0.000241798
3,23.0313,2.1978,2.37953,1.10672,0,0,0,0,0,19.1149,0,0.000358105,0.000358105,0.000358105
4,30.5866,1.98081,1.6879,1.09872,0,0,0,0,0,19.0999,0,0.00046561,0.00046561,0.00046561
5,38.0114,2.10357,1.81278,1.07153,0,0,0,0,0,18.9387,0,0.000564313,0.000564313,0.000564313
6,45.4185,2.09434,1.67483,1.06737,0,0,0,0,0,18.8074,0,0.000654214,0.000654214,0.000654214
7,52.9027,2.04256,1.64233,1.081,0,0,0,0,0,18.9727,0,0.000735314,0.000735314,0.000735314
8,60.606,1.75649,2.61945,0.93619,0,0,0,0,0,19.4253,0,0.000807611,0.000807611,0.000807611
9,68.8777,2.04376,1.45567,1.04891,0,0,0,0,0,20.421,0,0.000871108,0.000871108,0.000871108
10,76.3038,1.95003,1.46089,1.07699,0,0,0,0,0,20.421,0,0.000925802,0.000925802,0.000925802
11,84.1226,2.07517,1.50529,1.11284,0,0,0,0,0,22.8383,0,0.000971694,0.000971694,0.000971694
12,92.0044,1.92705,1.5332,1.20237,0,0,0,0,0,22.8383,0,0.00100879,0.00100879,0.00100879
13,99.4636,1.85245,1.48038,1.09267,0,0,0,0,0,24.2125,0,0.00100687,0.00100687,0.00100687
14,106.815,1.86501,1.31746,1.0453,0,0,0,0,0,24.2125,0,0.000951857,0.000951857,0.000951857
15,114.377,1.91941,1.35314,1.03617,0,0,0,0,0,30.2652,0,0.000896846,0.000896846,0.000896846
16,122.077,1.91329,1.34217,1.0404,0,0,0,0,0,30.2652,0,0.000841835,0.000841835,0.000841835
17,129.652,1.85405,1.39968,1.0378,0,0,0,0,0,43.6042,0,0.000786824,0.000786824,0.000786824
18,136.987,1.96046,1.40912,1.03153,0,0,0,0,0,43.6042,0,0.000731813,0.000731813,0.000731813
19,144.375,1.77642,1.28087,1.03436,0,0,0,0,0,48.9424,0,0.000676802,0.000676802,0.000676802
20,151.933,1.92984,1.27336,1.03802,0,0,0,0,0,48.9424,0,0.000621791,0.000621791,0.000621791
21,159.41,1.70488,1.35795,1.0255,0,0,0,0,0,46.1395,0,0.00056678,0.00056678,0.00056678
22,166.704,1.74773,1.34212,1.04271,0,0,0,0,0,46.1395,0,0.000511769,0.000511769,0.000511769
23,174.057,1.70211,1.32928,1.02128,0,0,0,0,0,48.6033,0,0.000456758,0.000456758,0.000456758
